artist,album,key,local,spotify_album_uri,album_art
Lil Peep,Come over when you're sober pt. 1,59,0,6GkrA9XjOpEFkep0TIfFB8,
The hollies,Confessions of the Mind,60,0,12YClBmrcVkW7GqtR5jtkh,
Dirty Projectors,5 EPs,61,0,7u0QlPnsqX06KfavgPeSET,https://a5.mzstatic.com/us/r1000/0/Music114/v4/f5/1a/40/f51a4062-ac67-dacd-a5e1-90610c6acb9f/887828047260.png
Adele,19,62,0,5duyQokC4FMcWPYTV9Gpf9,https://a5.mzstatic.com/us/r1000/0/Music122/v4/65/89/02/65890208-e800-b740-9a75-45ab6b1b654e/634904531362.png
The Village People,Can't stop the Music,63,0,4oIOg6AgN5cTIQPk00RAWS,https://a5.mzstatic.com/us/r1000/0/Music/v4/e9/f0/f0/e9f0f0df-fb6f-0581-fbf5-c179e34b2b02/cover.jpg
The Saints,I'm Stranded,64,0,10hYjKl40Yu64cV3313uhU,https://a5.mzstatic.com/us/r1000/0/Music114/v4/39/9d/b1/399db115-1a36-37ab-5a18-1a0ea31d98ea/05099996872956.jpg
Simon and Garfunkel,Bridge Over Troubled Water,65,0,0JwHz5SSvpYWuuCNbtYZoV,https://a5.mzstatic.com/us/r1000/0/Music125/v4/a3/84/0a/a3840a6d-44e8-0afe-fc3e-316c517dddfe/5099749521421.jpg
Whitney Houston,Whitney,66,0,5Vdzprr5cOqXQo44eHeV7t,https://a5.mzstatic.com/us/r1000/0/Music115/v4/86/b5/25/86b525b1-bff1-4bf6-6112-531251b3d672/dj.hthdmusj.jpg
Ray Charles,Ray Charles (AKA I love her so),67,0,0cw6Sv7IwZ87aLPPvNPSd0,https://a5.mzstatic.com/us/r1000/0/Music125/v4/c5/9a/76/c59a7634-222b-8e9c-b7bb-e21b03689857/s06.qpwudujs.jpg
The Police,Outlandos D'Amour,68,0,1H9g6j4Wwj6wh6p8YHVtkf,https://a5.mzstatic.com/us/r1000/0/Music126/v4/47/de/29/47de29d9-5109-2020-d296-1021a7378574/16UMGIM60880.rgb.jpg
Wham,Make it Big,69,0,02f3y3NTsddjdUMoNiBppI,https://a5.mzstatic.com/us/r1000/0/Music115/v4/ee/49/ac/ee49accc-78bd-bcdb-1aff-c40c1ac3ccc4/074643959520.jpg
Lauren Hill,The miseducation of Lauren Hill,70,0,1BZoqf8Zje5nGdwZhOjAtD,https://a5.mzstatic.com/us/r1000/0/Music125/v4/09/6b/55/096b55c4-ee8f-23bd-df8f-0ca0821f3028/886446727189.jpg
Paramore,Riot,71,0,3UoOO8m0oxxvUHXUKf3qcZ,https://a5.mzstatic.com/us/r1000/0/Music125/v4/9a/3a/26/9a3a2608-29a7-5585-f990-cdfeb10b7394/075679955005.jpg
Aretha Franklin,Live in Philly 1972,72,0,3s3zlBgBcFcbnU6c3tTKKo,https://a5.mzstatic.com/us/r1000/0/Features4/v4/eb/de/74/ebde74ec-c78e-2b53-5326-6fc89c583361/dj.iocubvxp.jpg
Regina Spektor,11:11,73,0,4hl6YB0KvJ22Nu99uRPEkt,https://a5.mzstatic.com/us/r1000/0/Music112/v4/c1/43/b2/c143b26f-c75e-981a-64dd-94ac333c5106/093624880097.jpg
Diana Ross,Diana,74,0,3zgDLoVcpVGfFbDZJf3uHI,https://a5.mzstatic.com/us/r1000/0/Music124/v4/4b/68/94/4b68944b-e875-5729-e97f-c781fc9e0c1e/06UMGIM11291.rgb.jpg
compilation,famous when dead four,75,0,6uoxpWyulBZ9Yb1i81fUK2,https://www.google.com/search?q=famous+when+dead+four&tbm=isch&ved=2ahUKEwjFiI6Y5oiAAxVUj2MGHdCxCkEQ2-cCegQIABAA&oq=famous+when+dead+four&gs_lcp=CgNpbWcQAzoECCMQJ1CqBViqBWCjCGgAcAB4AIAB0gKIAf8EkgEDMy0ymAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=qWquZIWQCdSejuMP0OOqiAQ&bih=664&biw=1536&rlz=1C1GCEA_enAU926AU926&safe=active#imgrc=cRJYXoBtyaNhgM
The Beatles,The Beatles,76,0,1klALx0u4AavZNEvC4LrTL,https://a5.mzstatic.com/us/r1000/0/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg
The Beatles,Revolver,77,0,7C221PnWhYGv8Tc0xSbfdc,https://a5.mzstatic.com/us/r1000/0/Music122/v4/cd/85/d6/cd85d67f-29c1-f554-bc11-7882d8653e22/22UMGIM95894.rgb.jpg
The Beatles,Sgt Pepper's Lonely Hearts Club Band,78,0,1ntNLgaYCFCkeW4flGYlY2,https://a5.mzstatic.com/us/r1000/0/Music114/v4/6f/79/8d/6f798d84-7475-8525-fc91-f7b51b2b5a9b/00602567725428.rgb.jpg
Eddy Current Suppression Ring,Primary Colours,79,0,1srXpYJaQiPcTQPVury27M,https://a5.mzstatic.com/us/r1000/0/Music/3d/ed/96/mzi.ciznuuee.jpg
Smith Street Band,More Scared of You than You are Of Me,80,0,4S0u2EwWBpnucVikLoIKx8,https://a5.mzstatic.com/us/r1000/0/Music112/v4/ad/69/1e/ad691efb-916d-ae6e-33b9-1bb7be7d9530/507.jpg
Smith Street Band,No One Gets Lost Anymore,81,0,2hul2zNcF5WmfoEqUpMcKF,https://a5.mzstatic.com/us/r1000/0/Music118/v4/81/1b/c4/811bc4fd-38e6-0e72-e8d4-8ee26f597f62/cover.jpg
Smith Street Band,Throw Me in The River,82,0,6Tcr5y1CkKeqwhNk7oGlRl,https://a5.mzstatic.com/us/r1000/0/Music112/v4/37/19/d8/3719d873-c1eb-131e-d34e-2c57606ff217/593.jpg
Smith Street Band,Don't Waste Your Anger,83,0,5Fk3MYCD57pOyC0XClsqmk,https://a5.mzstatic.com/us/r1000/0/Music123/v4/ae/d5/04/aed50425-240d-0502-569d-6eeea11a4619/cover.jpg
LSDREAM,Renegades of Light,84,0,4KVo7hcHmc7x12sszqdLAN,https://a5.mzstatic.com/us/r1000/0/Music124/v4/f7/55/fe/f755fee1-c6ad-12e2-4755-2ee1b97cde60/cover.jpg
Duke Ellington and John Coltrane,Duke Ellington and John Coltrane,85,0,1OvmilWKtrabJGEpPRlgK5,https://a5.mzstatic.com/us/r1000/0/Music124/v4/80/ec/70/80ec708b-13ab-a9d7-71cc-31f9c40abf47/12UMGIM11023.rgb.jpg
Sandi Thom ,PunkRocker ,86,0,2vh0Lg3vwmArk6KI0m9eb5,https://a5.mzstatic.com/us/r1000/0/Music49/v4/e9/03/a1/e903a14a-5fb7-55f8-2fd8-93be9e28ba9c/190374623858.jpg
Fun,Some nights ,87,0,7m7F7SQ3BXvIpvOgjW51Gp,https://a5.mzstatic.com/us/r1000/0/Features115/v4/b2/df/a3/b2dfa32c-ea54-7983-0da1-6964e60a1bd7/dj.aqphuayl.jpg
Raye ,My 21st century blues ,88,0,3U8n8LzBx2o9gYXvvNq4uH,https://a5.mzstatic.com/us/r1000/0/Music112/v4/90/93/08/909308e3-94ca-dbf8-ebc7-0177bae4b9ad/197186999980.jpg
